name,slug,country,city,homepage,programs
"technical university of denmark - dtu","technical-university-of-denmark---dtu","Danmark","Kongens Lyngby/København","","{'marin teknikk':1,}"
"seoul national university","seoul-national-university","Korea","Seoul","","{'master i matematikk':1,'kybernetikk og robotikk':2,'datateknologi':2,'bygg- og miljøteknikk':1,'samfunnsøkonomi':1,'samfunnsøkonomi 5-årig master':1,}"
"universidad carlos iii de madrid (uc3m)","universidad-carlos-iii-de-madrid-(uc3m)","Spania","Madrid","","{'datateknologi':1,}"
"lunds universitet","lunds-universitet","Sverige","Lund","","{'arkitektur':1,'bachelor i psykologi':1,}"
"sungkyunkwan university","sungkyunkwan-university","Korea","Suwon","","{'bygg- og miljøteknikk':1,'dataingeniør':2,'dataingeniør bachelor':1,'master sts':1,'master i informatikk':1,'mbiot5':2,'fysikk og matematikk, siving.':1,'elektroingeniør':1,'arkitektur':1,'mtfyma':1,}"
"sapienza università di roma","sapienza-università-di-roma","Italia","Roma","","{'industriell økonomi og teknologiledelse':1,}"
"ohio state university","ohio-state-university","USA","Columbus, Ohio","","{'bioingeniør':1,'bioingeniørfag, bachelor':1,}"
"universidad de valencia (uv)","universidad-de-valencia-(uv)","Spania","Valencia","","{'samfunnsøkonomi':1,'industriell kjemi og bioteknologi':1,}"
"university of hawaii","university-of-hawaii","USA","Honolulu","","{'kybernetikk og robotikk':1,}"
"universidad de granada (ugr)","universidad-de-granada-(ugr)","Spania","Granada","","{'elektronisk systemdesign og innovasjon (nanoelektronikk og fotonikk)':1,}"
"science po","science-po","Frankrike","LYON","","{'europastudier':1,}"
"reykjavik university","reykjavik-university","Island","Reykjavik","","{'energi og miljø':1,}"
"harvard university","harvard-university","USA","Boston","","{'mtiøt':1,'industriell økonomi og teknologiledelse':7,'indøk':2,'nanoteknologi':1,'nanoteknologi, sivilingeniør/masterprogram 5-årig':1,'mtiøt-dt':1,'elektronisk systemdesign og innovasjon':1,'marin teknikk prosjektering':1,}"
"ucly","ucly","Frankrike","Lyon","","{'bachelor i bioingeniørfag':1,}"
"university of cape town - uct","university-of-cape-town---uct","Sør Afrika","Cape Town","","{'indøk data':1,}"
"free university of bozen-bolzano (unibz)","free-university-of-bozen-bolzano-(unibz)","Italia","Bolzano","","{'indøk data':1,}"
"kungliga konsthögskolan","kungliga-konsthögskolan","Sverige","Stockholm","","{'bbk':1,}"
"california state university, los angeles","california-state-university,-los-angeles","USA","los angeles","","{'psykologi batchelor':1,}"
"technical university of denmark (dtu)","technical-university-of-denmark-(dtu)","Danmark","København","","{'kommunikasjonsteknologi og digital sikkerhet':1,}"
"dtu - danmarks tekniske universitet","dtu---danmarks-tekniske-universitet","Danmark","København","","{'energi og miljø':1,'mtprod':1,'bimas':1,'kybernetikk og robotikk':1,'elsys':1,'produktutvikling':1,}"
"university of california, berkeley","university-of-california,-berkeley","USA","Berkeley","","{'industriell økonomi og teknologiledelse, data':1,'byggingeniør - ålesund':1,'datateknologi':1,'master i datateknologi':1,'mtfyma':1,'profesjonsstudiet i psykologi':1,'nanoteknologi':2,'fysikk og matematikk (teknisk fysikk)':1,'indøk':1,'industriell økonomi og teknologiledelse':1,'mtprod':1,'bygg- og miljøteknikk. studieretning: bygg og anlegg':1,'bygg- og miljøteknikk (bygg og anlegg)':1,'':1,'mtbygg':1,'mtnano':1,'bygg- og miljøteknikk':1,'marin teknikk':1,'lektorutdanning i språkfag':1,}"
"chalmers tekniska hogskola","chalmers-tekniska-hogskola","Sverige","Göteborg","","{'elektronisk systemdesign og innovasjon':1,}"
"texas a&amp;m university","texas-a&amp;m-university","USA","College Station","","{'petroleumsfag':4,'petroleumsteknologi':1,}"
"texas a&amp;m","texas-a&amp;m","USA","College station","","{'mtpetr':1,'petroleumsfag':2,}"
"danmarks tekniske universitet - dtu","danmarks-tekniske-universitet---dtu","Danmark","København","","{'bygg- og miljøteknikk':1,'kommunikasjonsteknologi':1,}"
"university of strathclyde","university-of-strathclyde","Storbritannia","Glasgow","","{'marin teknikk, prosjektering og logistikk':1,'elektronisk systemdesign &amp; innovasjon':1,'bachelor i økonomi og administrasjon':1,'marin teknikk':3,'bachelor i samfunnsøkonomi':1,'indøk':1,'industriell økonomi og teknologiledelse':1,}"
"universitetet i bern","universitetet-i-bern","Sveits","Bern","","{'fysikk og matematikk':1,}"
"university of wisconsin madison","university-of-wisconsin-madison","USA","Madison","","{'bygg- og miljøteknikk':1,}"
"vysoká škola báňská – technická univerzita ostrava","vysoká-škola-báňská-–-technická-univerzita-ostrava","Tsjekkia","Ostrava","","{'global manufacturing management, 2-årig master':1,}"
"london metropolitan university","london-metropolitan-university","Storbritannia","London","","{'psykologi profesjon':1,'økonomi og administrasjon':1,'engelsk bachelor':1,'engelsk':1,'bachelor i markedsføring og ledelse':1,'film og videoproduksjon':1,}"
"sciences po strasbourg","sciences-po-strasbourg","Frankrike","Strasbourg","","{'europastudier med statsvitenskap':1,}"
"sdsu","sdsu","USA","San Diego","","{'lektorutdanning - engelsk':1,'statsvitenskap':1,}"
"sciences po lyon","sciences-po-lyon","Frankrike","Lyon","","{'statsvitenskap':1,}"
"universitetet i padova","universitetet-i-padova","Italia","Padova","","{'mtkj':1,}"
"grenoble inp","grenoble-inp","Frankrike","Grenoble","","{'indøk':1,'materialteknologi':1,}"
"university of glasgow","university-of-glasgow","Storbritannia","Glasgow","","{'lektor i engelsk':1,'lektor i språkfag':1,'mtbygg - konstruksjon':1,'bygg- og miljøteknikk':1,'arkeologi':1,'englesk bachelor':1,'produktutvikling og produksjon':1,'energi og miljø':2,'statsvitenskap':1,'fysikk og matematikk':1,'master i historie':1,'sivilingeniør, 5-årig, fysikk og matematikk':1,'fysikk bachelor':1,'informatikk - master':1,'produktutvikling og produksjon, puma':1,}"
"universitá degli studi di siena","universitá-degli-studi-di-siena","Italia","Siena","","{'industriell økonomi og teknologiledelse':1,}"
"università degli studi di siena","università-degli-studi-di-siena","Italia","Siena","","{'industriell økonomi og teknologiledelse':1,}"
"albert-ludwigs-universität freiburg","albert-ludwigs-universität-freiburg","Tyskland","Freiburg im Breisgau","","{'lektor i samfunnsfag':1,'bachelor tysk - språk og litteratur':1,'fysikk og matematikk':1,'europastudier med fremmedspråk':1,}"
"management center innsbruck (mci)","management-center-innsbruck-(mci)","Østerrike","Innsbruck","","{'master i økonomi og administrasjon':1,}"
"uv - universitat de valencia","uv---universitat-de-valencia","Spania","Valencia","","{'profesjonsstudiet i psykologi':1,}"
"national university of singapore","national-university-of-singapore","Singapore","Singapore","","{'statsvitenskap':1,'økonomi og administrasjon':1,'datateknologi':1,'dataingeniør':1,'indøk':1,'marin teknikk':7,'mtmart':1,'nanoteknologi':2,'mtnano':1,'mtiøt':1,'industriell økonomi og teknologiledelse':1,'produktutvikling og produksjon':1,}"
"amsterdam university of applied sciences","amsterdam-university-of-applied-sciences","Nederland","Amsterdam","","{'dataingeniør':2,'dataingeniør (bachelor)':1,}"
"ajou university","ajou-university","Korea","Suwon","","{'digital infrastruktur og cybersikkerhet':2,'energi og miljø':1,'datateknologi':1,'kommunikasjonsteknologi':1,'informatikk master':1,}"
"hawaii pacific university","hawaii-pacific-university","USA","Honolulu","","{'biomarin innovasjon':2,'markedsføring og ledelse':1,'mtdt':1,'geografi':1,'bachelor i psykologi':1,}"
"politecninco di milano","politecninco-di-milano","Italia","Milano","","{'industriell design':1,}"
"albert-ludwigs-universität","albert-ludwigs-universität","Tyskland","Freiburg","","{'lektor i samfunnsfag/tysk':1,}"
"eth zürich","eth-zürich","Sveits","Zürich","","{'ingeniørvitenskap og ikt':2,'mtfyma':1,'mtelsys':1,}"
"cafoscari","cafoscari","Italia","Venezia","","{'ledelse av teknologi':1,}"
"insitituto superior tecnico","insitituto-superior-tecnico","Portugal","Lisboa","","{'tekniske geofag':1,}"
"kth","kth","Sverige","Stockholm","","{'ingeniørvitenskap og ikt':1,'energi og miljø':1,'mttk':1,'energibruk og energiplanlegging':1,'arkitektur':2,'mtprod':2,'industriell design':1,}"
"institut détudes politiques de lyon (sciences po lyon)","institut-détudes-politiques-de-lyon-(sciences-po-lyon)","Frankrike","Lyon","","{'lektorutdanning i samfunnsfag':1,}"
"università degli studi di torino","università-degli-studi-di-torino","Italia","Torino","","{'master i ledelse av teknologi':1,'ledelse av teknologi':1,'økonomi og administrasjon':1,'økonomi og administrasjon, bachelor':1,}"
"universität innsbruck","universität-innsbruck","Østerrike","Innsbruck","","{'ledelse av teknologi':1,'kommunikasjonsteknologi':1,'bygg- og miljøteknikk':1,}"
"universidad de alicante","universidad-de-alicante","Spania","Alicante","","{'mglu 1-7':1,'software engineering':1,'økonomi og administrasjon':2,'indøk':1,'industriell økonomi og teknologiledelse':2,}"
"management center innsbruck","management-center-innsbruck","Østerrike","Innsbruck","","{'økonomi og administrasjon bachelor':1,}"
"iqs ramon lull","iqs-ramon-lull","Spania","Barcelona","","{'økad':1,}"
"politecnico di milano (leonardo)","politecnico-di-milano-(leonardo)","Italia","Milano","","{'arkitektur (5-årig master)':1,}"
"iqs - universitat ramon llull","iqs---universitat-ramon-llull","Spania","Barcelona","","{'bachelor i økonomi og administrasjon':1,}"
"universitat de barcelona","universitat-de-barcelona","Spania","Barcelona","","{'markedsføring, innovasjon og ledelse':1,'fysikk og matematikk':1,'msc in biology- ecology, behaviour, evolution and biosystematics':1,'bioingeniør':2,'master of science in molecular medicine':1,'petroleumsfag':1,'molecular medicine':1,'markedsføring og ledelse, spesialisering eksportmarkedsføring':1,}"
"sapienza universitet i roma","sapienza-universitet-i-roma","Italia","Roma","","{'digital infrastruktur og cybersikkerhet':1,}"
"university of york","university-of-york","Storbritannia","York","","{'bachelor i engelsk':1,'lektor språkfag - engelsk':1,'lektorutdanning i språkfag (engelsk)':1,'arkeologi':2,'bachelor i arkeologi':1,'engelsk':1,'engelsk bachelor':1,'ba engelsk':1,'mlspråk':1,'lektorutdanning i språkfag - engelsk':1,'lektorutdanning i språkfag':1,}"
"university of padua","university-of-padua","Italia","Padova","","{'indøk':1,'industriell økonomi og teknologiledelse':1,'bachelor i samfunnsøkonomi':1,'ingeniørvitenskap og ikt':1,}"
"university of zürich (uzh)","university-of-zürich-(uzh)","Sveits","Zürich","","{'master i statsvitenskap':1,}"
"alma","alma","Italia","Bologna","","{'energi og miljø':1,}"
"instituto superior tècnico","instituto-superior-tècnico","Portugal","Lisboa","","{'tekniske geofag':1,}"
"chung-ang university","chung-ang-university","Korea","Seoul","","{'bachelor i kjemi':1,'datateknologi':1,'bachelor psykologi':1,'kommunikasjonsteknologi':1,'økonomi og adminisrajon':1,'teknisk kybernetikk':1,}"
"ie university","ie-university","Spania","Madrid","","{'industriell økonomi og teknologiledelse':1,}"
"hong kong polytechnic university","hong-kong-polytechnic-university","Kina","Hong Kong","","{'indøk - emil':1,'industriell økonomi og teknologiledelse':1,'samfunnsøkonomi':1,}"
"ca foscari","ca-foscari","Italia","venezia","","{'økonomi og administrasjon':1,'master i ledelse av teknologi':2,'industriell økonomi og teknologiledelse':1,}"
"universita degli studi di firenze","universita-degli-studi-di-firenze","Italia","Firenze","","{'statsvitenskap':1,'økonomi og administrasjon':1,}"
"università degli studi di roma la sapienza","università-degli-studi-di-roma-la-sapienza","Italia","Roma","","{'master, international business and marketing':1,}"
"st. pölten university of applied sciences","st.-pölten-university-of-applied-sciences","Østerrike","St. Pölten","","{'digital infrastruktur og cybersikkerhet':1,}"
"rennes school of business","rennes-school-of-business","Frankrike","Rennes","","{'økonomi og administrasjon':1,}"
"iqs ramon llull","iqs-ramon-llull","Spania","Barcelona","","{'økonomi og administrasjon':1,}"
"tor vergata","tor-vergata","Italia","Roma","","{'indøk':1,}"
"university of california berkeley","university-of-california-berkeley","USA","Berkeley","","{'økonomi og administrasjon':1,'lektorprogrammet i språkfag':1,'bachelor ingeniør bygg':1,'produktutvikling og produksjon':1,'sivilingeniør bygg og miljøteknikk 5-årig':1,}"
"university of california santa barbara ucsb","university-of-california-santa-barbara-ucsb","USA","Santa Barbara","","{'indøk produktutvikling':1,}"
"universitetet i alicante","universitetet-i-alicante","Spania","Alicante","","{'grunnskolelærer 1-7':1,}"
"university of alicante","university-of-alicante","Spania","Alicante","","{'informatikk':1,}"
"aalto","aalto","Finland","Helsinki","","{'ingeniørvitenskap og ikt':1,}"
"universitetet i padova - unipd","universitetet-i-padova---unipd","Italia","Padova","","{'kybernetikk og robotikk':1,}"
"upc - fib","upc---fib","Spania","Barcelona","","{'indøk':1,'datateknologi':1,}"
"technische universität berlin","technische-universität-berlin","Tyskland","Berlin","","{'grunnskolelærerutdanning 5.-10. trinn':1,'bygg- og miljøteknikk':4,'kybernetikk og robotikk':2,'fysikk og matematikk':2,'marin teknikk':2,'master i informatikk - programvaresystemer':1,}"
"technisches universität berlin","technisches-universität-berlin","Tyskland","Berlin","","{'grunnskolelærerutdanning 5.-10 trinn masterstudium (5-årig)':1,}"
"universite grenoble alpes","universite-grenoble-alpes","Frankrike","Grenoble","","{'kybernetikk og robotikk':1,}"
"universidad politécnica de valencia","universidad-politécnica-de-valencia","Spania","Valencia","","{'kybernetikk og robotikk (5 årig)':1,'master i informatikk':1,'informatikk, programvaresystemer':1,'marin teknikk':1,'bygg- og miljøteknikk':1,}"
"universidade de lisboa/instituto superior técnico","universidade-de-lisboa/instituto-superior-técnico","Portugal","Lisboa","","{'marin teknikk':1,}"
"university of konstanz","university-of-konstanz","Tyskland","Konstanz","","{'msc in chemistry':1,}"
"técnico lisboa","técnico-lisboa","Portugal","Lisboa","","{'mttk':1,'marin teknikk':1,'produktutvikling og produksjon (sivilingeniør/master, 5 år) - ntnu':1,}"
"montanuniversität leoben","montanuniversität-leoben","Østerrike","Leoben","","{'petroleumsteknologi':1,}"
"iade","iade","Portugal","Lisboa","","{'industriell design':1,}"
"mit","mit","USA","Boston","","{'mtfyma':1,'mttk':1,'industriell økonomi og teknologiledelse':1,'produktutvikling og produksjon':1,}"
"universidad de la laguna","universidad-de-la-laguna","Spania","La Laguna","","{'datateknologi':1,'mtkom':1,'kommunikasjonsteknologi og digital sikkerhet':1,}"
"technical university of munich","technical-university-of-munich","Tyskland","München","","{'elektronisk systemdesign og innovasjon':1,'kybernetikk og robotikk':1,'industriell økonomi og teknologiledelse':1,'industriell kjemi og bioteknologi':1,}"
"arkitektskolen aarhus","arkitektskolen-aarhus","Danmark","Aarhus","","{'arkitektur':1,}"
"universidad de la laguna (ull)","universidad-de-la-laguna-(ull)","Spania","San Cristóbal de La Laguna","","{'kommunikasjonsteknologi og digital sikkerhet':1,}"
"universitetet i bologna","universitetet-i-bologna","Italia","Bologna","","{'mttk':1,'energi og miljø':2,'økonomi og administrasjon':1,'bygg- og miljøteknikk':1,'industriell økonomi og teknologiledelse':1,}"
"chalmers university of technology","chalmers-university-of-technology","Sverige","Gøteborg","","{'fysikk og matematikk - industriell matematikk':1,'elektronisk systemdesign og innovasjon. akustikk':1,'mtbygg':1,}"
"universitat politècnica de catalunya (upc)","universitat-politècnica-de-catalunya-(upc)","Spania","Barcelona","","{'fysikk og matematikk':1,'bygg- og miljøteknikk':1,'kommunikasjonsteknologi':1,}"
"ist, instituto superior tecnico (universidade de lisboa)","ist,-instituto-superior-tecnico-(universidade-de-lisboa)","Portugal","Lisboa","","{'ingeniørvitenskap &amp; ikt':1,}"
"university of southampton","university-of-southampton","Storbritannia","Southampton","","{'marine subsea operation':1,'undervannsteknologi':1,'marin teknikk':2,'comem':1,}"
"danske tekniske universitet (dtu)","danske-tekniske-universitet-(dtu)","Danmark","København","","{'':1,}"
"uniwersytet jagiellonski","uniwersytet-jagiellonski","Polen","Krakow","","{'european studies- masters programme':1,}"
"université de nantes","université-de-nantes","Frankrike","Nantes","","{'europastudier med statsvitenskap':1,}"
"czech technical university, ctu","czech-technical-university,-ctu","Tsjekkia","Praha","","{'mibygg':1,}"
"university of twente","university-of-twente","Nederland","Enschede","","{'elektronisk systemdesign og innovasjon':1,'mtnano':2,'kybernetikk og robotikk: fiskeri- og havbruks-kybernetikk (mttk)':1,'sivilingeniør nanoteknologi':1,'dataingeniør bachelor':1,'bpsy':1,}"
"ostravska univerzita","ostravska-univerzita","Tsjekkia","Ostrava","","{'lektor i geografi':1,}"
"technical university of denmark","technical-university-of-denmark","Danmark","København","","{'industriell økonomi og teknologiledelse':1,}"
"elte - eötvös loránd university","elte---eötvös-loránd-university","Ungarn","Budapest","","{'master i psykologi':1,}"
"ntnus brusselkontor","ntnus-brusselkontor","Belgia","Brussel","","{'european studies master':1,}"
"internship ntnu brusselkontor","internship-ntnu-brusselkontor","Belgia","Brussel","","{'europastudier master':1,}"
"sintef","sintef","Belgia","Brussel","","{'europastudier':1,'masters in european studies':1,}"
"uva","uva","Nederland","Amsterdam","","{'master i informatikk':1,}"
"göteborg universitet","göteborg-universitet","Sverige","Göteborg","","{'klassiske fag':1,}"
"the university of tokyo","the-university-of-tokyo","Japan","Tokyo","","{'datateknologi':1,'arkitektur':1,}"
"tu wien","tu-wien","Østerrike","Wien","","{'ph.d. i industriell økonomi og teknologiledelse':1,'maar':1,'mtdt':1,'energi og miljø':1,}"
"alma university","alma-university","Italia","Bologna","","{'mtenerg':1,}"
"università degli studi di perugia","università-degli-studi-di-perugia","Italia","Perugia","","{'petroleumsfag/petroleumsgeofysikk':1,'petroleumsgeofysikk':1,}"
"university of stuttgart","university-of-stuttgart","Tyskland","Stuttgart","","{'arkitektur':1,'mtfyma':1,}"
"ghent university","ghent-university","Belgia","Gent","","{'industriell kjemi og bioteknologi':1,'materialteknologi':1,'europastudier master':1,}"
"shanghai jiao tong university","shanghai-jiao-tong-university","Kina","Shanghai","","{'dataingeniør':1,'industriell økonomi og teknologiledelse':1,'produktutvikling og produksjon':1,'produksjon og produktutvikling':1,'kybernetikk og robotikk':1,'industriell kybernetikk':1,'datateknologi (mtdt)':1,'energibruk og energiplanlegging':1,}"
"università ca’ foscari venezia","università-ca’-foscari-venezia","Italia","Venezia","","{'industriell økonomi og teknologiledelse':1,}"
"national taiwan university of science and technology","national-taiwan-university-of-science-and-technology","Taiwan","Taipei","","{'industriell økonomi og teknologiledelse':1,'ledelse av teknologi':1,'master i ledelse av teknologi':1,'elektronisk systemdesign og innovasjon':1,'bioteknologi':1,'datateknologi':1,}"
"university of otago","university-of-otago","New Zealand","Dunedin","","{'':1,'bygg- og miljøteknikk (bygg og anlegg)':1,'ingeniørvitenskap og ikt':1,'bachelor i biologi':1,'masterprogram (2-årig) lærar i samfunnsfag':1,'industriell økonomi og teknologiledelse (data/ai)':1,'master i geologi':1,'biologi, bachelor':1,'bachelor i geomatikk':1,'grunnskolelærer 1-7 m. realfag':1,'lektorutdanning i realfag':1,}"
"rwth","rwth","Tyskland","Aachen","","{'bygg-og miljøteknikk':1,'mtprod':1,'kybernetikk og robotikk, 5årig master':1,'energi og miljø':3,'master fysikk':1,'mtmt':1,'materialteknologi':1,}"
"universidad de lisboa","universidad-de-lisboa","Portugal","Lisboa","","{'energi og miljø':1,}"
"universidade autonoma de lisboa","universidade-autonoma-de-lisboa","Portugal","Lisboa","","{'arkitektur':3,}"
"karlsruher institut für technologie","karlsruher-institut-für-technologie","Tyskland","Karlrsuhe","","{'bygg- og miljøteknikk (veg)':1,}"
"universidade autónoma de lisboa (ual)","universidade-autónoma-de-lisboa-(ual)","Portugal","Lisboa","","{'arkitektur - masterstudium (5-årig) (maar)':1,}"
"ual","ual","Portugal","Lisabon","","{'arkitektur':1,'arkitektur (master 5-årig)':1,}"
"universidad de politecnica de valencia","universidad-de-politecnica-de-valencia","Spania","Valencia","","{'master i industriell design':1,}"
"university of queensland","university-of-queensland","Australia","Brisbane","","{'industriell kjemi og bioteknologi':1,'lektorutdanning i samfunnsfag':2,'lektor i engelsk':1,'bygg- og miljøteknikk':2,'profesjonsstudiet i psykologi':5,'datateknologi':4,'master i samfunnsøkonomi':1,'global manufacturing management, purchasing':1,'bachelor i psykologi':1,'mbiot5':1,'kybernetikk og robotikk':2,'bachelor i økonomi og administrasjon':1,'master i økonomi og administrasjon':2,'geografi (bachelor)':1,'master i voksnes læring':1,'fornybar energi':1,'lektor i samfunnsfag':3,'masterutdanning i voksnes læring':1,'mtdt':1,'psykologi':1,'psykologi - bacelorstudium':1,'samfunnsøkonomi':4,'produktutvikling og produksjon':1,'digital forretningsutvikling':2,'master i fag- og yrkesdidaktikk og lærerprofesjon. studieretning: samfunnsfag':1,'energi og miljø':2,'bachelor i informatikk':1,'industriell økonomi og teknologiledelse':8,'indøk':2,'dataingeniør':2,'elektroingeniør - elkraft':1,'bygg- og miljøteknikk, konstruksjonsteknikk':1,'mtbygg':1,'kybernetikk og robotikk (5 - årig master)':1,'mtenerg':1,'bachelor i samfunnsøkonomi':2,'bygg og miljøteknikk':1,'psykologi, profesjon':1,'økonomi og administrasjon':5,'integrert master i samfunnsøkonomi':1,'sivilingeniør fysikk og matematikk':1,'bevegelsesvitenskap':1,'markedsføring og ledelse':1,'mtprod':1,'datateknikk':1,'arkeologi bachelor':1,}"
"radboud university","radboud-university","Nederland","Nijmegen","","{'sosialantropologi':1,}"
"pontificia universidad católica de chile","pontificia-universidad-católica-de-chile","Chile","Santiago","","{'bygg- og miljøteknikk (5-årig)':1,'statsvitenskap - bachelor':1,'industriell design':1,'nanoteknologi':1,'lektorutdanning i historie':1,'indøk - maskin':1,'bygg- og miljøteknikk':1,}"
"upc - universitat politècnica de catalunya","upc---universitat-politècnica-de-catalunya","Spania","Barcelona","","{'mtdt, datateknologi':1,}"
"karlsruhe institute of technology, kit","karlsruhe-institute-of-technology,-kit","Tyskland","Karlsruhe","","{'bygg- og miljøteknikk':1,}"
"uzh","uzh","Sveits","Zürich","","{'bfy':1,}"
"universidad politecnica de valencia (upv)","universidad-politecnica-de-valencia-(upv)","Spania","Valencia","","{'mtbygg':1,}"
"isc paris business school","isc-paris-business-school","Frankrike","Paris","","{'økonomi og administrasjon':1,}"
"universitat de valencia","universitat-de-valencia","Spania","Valencia","","{'fysikk og matematikk, fordypning i teknisk fysikk':1,'psykologi - bachelor':1,'master i ledelse av teknologi':1,'psykologi, bachelor':2,'psykologi':2,}"
"unibo - lalma mater studiorum - università di bologna","unibo---lalma-mater-studiorum---università-di-bologna","Italia","Bologna","","{'bygg- og miljøteknikk':1,}"
"maastricht university","maastricht-university","Nederland","Maastricht","","{'medievitenskap (bachelor)':1,'europastudier med engelsk':2,'europastudier m/ engelsk':1,'europastudier':1,}"
"bond university","bond-university","Australia","Gold Coast","","{'økonomi, ledelse og bærekraft':2,'økonomi og administrasjon':30,'økonomi og administrasjon (bachelor)':1,'økonomi og administrasjon, bachelor':1,'øknonomi og administrasjon':1,'økad':1,'bachelor i økonomi og administrasjon':1,'økonomi, ledelse og bærekraft. nettbasert.':1,'shipping management':1,'økonomi og ledelse':1,'økonomi og administasjon':1,'medieledelse':1,}"
"lunds university","lunds-university","Sverige","Lund","","{'informatikk, drift av datasystemer':1,}"
"upc","upc","Spania","Barcelona","","{'industriell matematikk':1,'indmat':1,'energi og miljø':1,'mtmt':1,'https://www.ntnu.no/studier/mtkom':1,'mit':1,'kybernetikk og kybernetikk':1,'sivilingeniør, fysikk og matematikk':1,}"
"universitat politècnica de valència (upv)","universitat-politècnica-de-valència-(upv)","Spania","Valencia","","{'ingeniørvitenskap og ikt':1,}"
"leeds beckett university","leeds-beckett-university","Storbritannia","Leeds","","{'økonomi og administrasjon':1,}"
"university of cape town","university-of-cape-town","Sør Afrika","Cape Town","","{'marin teknikk':1,'kjemisk prosessteknologi':1,'bevegelsesvitenskap':1,'bachelor bevegelsesvitenskap':1,'mtmart':1,'industriell økonomi og teknologiledelse':3,'sosiologi':1,'sosialt arbeid bachelor':1,'mtbygg':1,'2-årig master i samfunnsøkonomi':1,'lektor i geografi':1,'mtiøt':1,'bygg- og miljøteknikk':1,'statsvitenskap':2,}"
"insa lyon","insa-lyon","Frankrike","Lyon","","{'energi og miljø':1,'marin teknikk':1,}"
"the university of queensland","the-university-of-queensland","Australia","Brisbane","","{'grunnskolelærer 5-10':1,'kybernetikk og robotikk':1,'bevegelsesvitenskap':1,'sosialantropologi':1,'samfunnsøkonomi':1,'arkitektur':1,'økonomi og administrasjon':1,}"
"wageningen university and research","wageningen-university-and-research","Nederland","Wageningen","","{'bachelor i biologi':1,}"
"duale hochschule baden-württemberg","duale-hochschule-baden-württemberg","Tyskland","Ravensburg","","{'grafisk design':1,'':1,}"
"uba - universidad de buenos aires","uba---universidad-de-buenos-aires","Argentina","Buenos Aires","","{'spansk bachelor':1,}"
"kathmandu university","kathmandu-university","Nepal","Dhulikhel","","{'videreutdanning i helsesykepleie':1,'medisin':3,'bachelor sykepleie':2,'medisin profesjon':1,'sykepleie bachelor':1,'bachelor i sykepleie':1,}"
"queensland university of technology","queensland-university-of-technology","Australia","Brisbane","","{'industriell økonomi og teknologiledelse':4,'medievitenskap (mki)':1,'sosiologi':1,'indøk pup':2,'mttk':1,'master ledelse av teknologi':1,'byggingeniør bachelor':1,'produktutvikling og produksjon':1,'materialteknologi 5 årig':1,'it-støttet bedriftsutvikling':1,'bygg- og miljøteknikk':1,'indøk':1,}"
"science po strasbourg - institut détudes politiques de strasbourg","science-po-strasbourg---institut-détudes-politiques-de-strasbourg","Frankrike","Strasbourg","","{'europastudier':1,}"
"universita degli studi firenze","universita-degli-studi-firenze","Italia","Firenze","","{'bachelor i økonomi og administrasjon':1,}"
"school of engineering,university of florence","school-of-engineering,university-of-florence","Italia","Frienze /Florens","","{'økonomi og administrasjon':1,}"
"sciencespo","sciencespo","Frankrike","Lyon","","{'statsvitenskap':1,}"
"national taiwan university of science and technology / taiwan tech","national-taiwan-university-of-science-and-technology-/-taiwan-tech","Taiwan","Taipei","","{'datateknologi':1,}"
"ntust","ntust","Taiwan","Taipei","","{'bygg- og miljøteknikk':1,'elsys':1,}"
"national university of singapore (nus)","national-university-of-singapore-(nus)","Singapore","Singapore","","{'datateknologi':2,'produktutvikling og produksjon':1,'nanoteknologi':1,'industriell økonomi og teknologiledelse':1,'proman':1,'mtiøt':1,'industriell økonomi':1,}"
"kathmandu university - dhulikhel hospital","kathmandu-university---dhulikhel-hospital","Nepal","Dhulikhel","","{'bachelor i sykepleie':1,}"
"praksis på et dagsenter for barn med psykisk utviklingshemming","praksis-på-et-dagsenter-for-barn-med-psykisk-utviklingshemming","Nepal","Kathmandhu","","{'vernepleie':1,}"
"unsw","unsw","Australia","Sydney","","{'industriell kjemi og bioteknologi':2,'bygg- og miljøteknikk':4,'i&amp;ikt':1,'mtbygg':1,'bygg og miljøteknikk':2,'kybernetikk og robotikk':2,'industriell design':2,'mbiot5':1,'ingeniørvitenskap og ikt':1,'bygg- og miljøteknikk, konstruksjonsteknikk':1,'bifener':1,'økonomi og administrasjon':1,'teknisk fysikk (fysikk og matematikk)':1,'marin teknikk':8,'datateknologi':1,'energi og miljø':2,'mtnano':2,'informatikk':1,'nanoteknologi':1,'indøk - maskin':1,'indøk':3,'produktutvikling og produksjon':4,'mtenerg':1,'fornybar energi ingeniør':1,'mtiøt':2,'lektor i kroppsøving og idrettsfag':1,'lektor i kroppsøving og idrett':1,'industriell økonomi og teknologiledelse':5,'fysikk og matematikk':1,'it støttet bedriftsutvikling':1,'mtdt':1,'2-årig master i bygg og miljøteknikk':1,'tekniske geofag':1,'indøk - data':1,'indøk data':1,'nt':1,'petroleumsteknologi':1,'mtpetro':1,'mtkj':2,}"
"qut","qut","Australia","Brisbane","","{'indøk':1,'industriell økonomi og teknologiledelse':2,'kybernetikk og robotikk':2,'logistikkingeniør':1,}"
"rmit university","rmit-university","Australia","Melbourne","","{'bygg og miljøteknikk':1,'industriell økonomi og teknologiledelse':1,'mtfyma':1,'bachelor i pedagogikk':1,}"
